CUSIP,Ticker,Security Name,Shares,Price,Market Value
037833100,AAPL,Apple Inc,15000,271.45,4071750.00
594918104,MSFT,Microsoft Corp,12000,478.20,5738400.00
02079K305,GOOGL,Alphabet Inc Class A,8000,201.35,1610800.00
023135106,AMZN,Amazon.com Inc,10000,231.80,2318000.00
67066G104,NVDA,NVIDIA Corp,20000,187.90,3758000.00
88160R101,TSLA,Tesla Inc,6000,412.60,2475600.00
30303M102,META,Meta Platforms Inc,7000,682.15,4775050.00
084670108,BRK.B,Berkshire Hathaway Inc,9000,489.30,4403700.00
478160104,JNJ,Johnson & Johnson,11000,158.75,1746250.00
46625H100,JPM,JPMorgan Chase & Co,9500,271.40,2578300.00
92826C839,V,Visa Inc,7500,338.90,2541750.00
57636Q104,MA,Mastercard Inc,4000,558.20,2232800.00
742718109,PG,Procter & Gamble Co,8500,168.45,1431825.00
191216100,KO,Coca-Cola Co,14000,71.20,996800.00
717081103,PFE,Pfizer Inc,20000,26.85,537000.00
110122108,BMY,Bristol-Myers Squibb,9000,52.30,470700.00
92343V104,VZ,Verizon Communications,15000,42.10,631500.00
254687106,DIS,Walt Disney Co,8000,112.40,899200.00
166764100,CVX,Chevron Corp,6500,162.75,1057875.00
30231G102,XOM,Exxon Mobil Corp,10000,118.90,1189000.00
